Thrust [N], tau_x [Nm], tau_y [Nm], tau_z [Nm]
3.876278, -0.000091, 0.000175 ,-0.000030
3.876445, -0.000092, 0.000175 ,-0.000030
3.876609, -0.000092, 0.000175 ,-0.000030
3.876770, -0.000092, 0.000176 ,-0.000030
3.876928, -0.000092, 0.000176 ,-0.000030
3.877082, -0.000092, 0.000177 ,-0.000031
3.877234, -0.000093, 0.000177 ,-0.000031
3.877383, -0.000093, 0.000177 ,-0.000031
3.877529, -0.000093, 0.000178 ,-0.000031
3.877672, -0.000093, 0.000178 ,-0.000031
3.877812, -0.000093, 0.000179 ,-0.000031
3.877949, -0.000094, 0.000179 ,-0.000031
3.878083, -0.000094, 0.000180 ,-0.000032
3.878213, -0.000094, 0.000180 ,-0.000032
3.878341, -0.000094, 0.000180 ,-0.000032
3.878465, -0.000095, 0.000181 ,-0.000032
3.878586, -0.000095, 0.000181 ,-0.000032
3.878704, -0.000095, 0.000182 ,-0.000032
3.878819, -0.000095, 0.000182 ,-0.000032
3.878930, -0.000095, 0.000183 ,-0.000033
3.879039, -0.000096, 0.000183 ,-0.000033
3.879144, -0.000096, 0.000183 ,-0.000033
3.879246, -0.000096, 0.000184 ,-0.000033
3.879344, -0.000096, 0.000184 ,-0.000033
3.879439, -0.000096, 0.000185 ,-0.000033
3.879531, -0.000097, 0.000185 ,-0.000033
3.879620, -0.000097, 0.000186 ,-0.000033
3.879705, -0.000097, 0.000186 ,-0.000033
3.879787, -0.000097, 0.000186 ,-0.000034
3.879866, -0.000098, 0.000187 ,-0.000034
3.879941, -0.000098, 0.000187 ,-0.000034
3.880013, -0.000098, 0.000188 ,-0.000034
3.880081, -0.000098, 0.000188 ,-0.000034
3.880146, -0.000098, 0.000189 ,-0.000034
3.880208, -0.000099, 0.000189 ,-0.000034
3.880266, -0.000099, 0.000189 ,-0.000034
3.880321, -0.000099, 0.000190 ,-0.000034
3.880372, -0.000099, 0.000190 ,-0.000035
3.880420, -0.000100, 0.000191 ,-0.000035
3.880464, -0.000100, 0.000191 ,-0.000035
3.880505, -0.000100, 0.000192 ,-0.000035
3.880543, -0.000100, 0.000192 ,-0.000035
3.880576, -0.000101, 0.000193 ,-0.000035
3.880606, -0.000101, 0.000193 ,-0.000035
3.880633, -0.000101, 0.000193 ,-0.000035
3.880657, -0.000101, 0.000194 ,-0.000035
3.880676, -0.000101, 0.000194 ,-0.000035
3.880693, -0.000102, 0.000195 ,-0.000036
3.880705, -0.000102, 0.000195 ,-0.000036
3.880714, -0.000102, 0.000196 ,-0.000036
3.880719, -0.000102, 0.000196 ,-0.000036
3.880721, -0.000103, 0.000197 ,-0.000036
3.880719, -0.000103, 0.000197 ,-0.000036
3.880714, -0.000103, 0.000197 ,-0.000036
3.880705, -0.000103, 0.000198 ,-0.000036
3.880692, -0.000104, 0.000198 ,-0.000036
3.880676, -0.000104, 0.000199 ,-0.000036
3.880656, -0.000104, 0.000199 ,-0.000036
3.880632, -0.000104, 0.000200 ,-0.000036
3.880605, -0.000105, 0.000200 ,-0.000037
3.880574, -0.000105, 0.000201 ,-0.000037
3.880539, -0.000105, 0.000201 ,-0.000037
3.880501, -0.000105, 0.000202 ,-0.000037
3.880459, -0.000106, 0.000202 ,-0.000037
3.880413, -0.000106, 0.000203 ,-0.000037
3.880364, -0.000106, 0.000203 ,-0.000037
3.880311, -0.000106, 0.000204 ,-0.000037
3.880254, -0.000107, 0.000204 ,-0.000037
3.880194, -0.000107, 0.000204 ,-0.000037
3.880130, -0.000107, 0.000205 ,-0.000037
3.880061, -0.000107, 0.000205 ,-0.000037
3.879990, -0.000108, 0.000206 ,-0.000037
3.879914, -0.000108, 0.000206 ,-0.000037
3.879835, -0.000108, 0.000207 ,-0.000037
3.879753, -0.000108, 0.000207 ,-0.000037
3.879666, -0.000109, 0.000208 ,-0.000037
3.879576, -0.000109, 0.000208 ,-0.000037
3.879482, -0.000109, 0.000209 ,-0.000038
3.879384, -0.000109, 0.000209 ,-0.000038
3.879282, -0.000110, 0.000210 ,-0.000038
3.879177, -0.000110, 0.000210 ,-0.000038
3.879069, -0.000110, 0.000211 ,-0.000038
3.878956, -0.000110, 0.000211 ,-0.000038
3.878839, -0.000111, 0.000212 ,-0.000038
3.878719, -0.000111, 0.000212 ,-0.000038
3.878596, -0.000111, 0.000213 ,-0.000038
3.878467, -0.000111, 0.000213 ,-0.000038
3.878336, -0.000112, 0.000214 ,-0.000038
3.878201, -0.000112, 0.000214 ,-0.000038
3.878062, -0.000112, 0.000215 ,-0.000038
3.877920, -0.000112, 0.000215 ,-0.000038
3.877774, -0.000113, 0.000216 ,-0.000038
3.877623, -0.000113, 0.000216 ,-0.000038
3.877469, -0.000113, 0.000217 ,-0.000038
3.877312, -0.000114, 0.000217 ,-0.000038
3.877151, -0.000114, 0.000218 ,-0.000038
3.876986, -0.000114, 0.000218 ,-0.000038
3.876817, -0.000114, 0.000219 ,-0.000038
3.876644, -0.000115, 0.000219 ,-0.000038
3.876469, -0.000115, 0.000220 ,-0.000038
3.876289, -0.000115, 0.000220 ,-0.000038
3.876105, -0.000116, 0.000221 ,-0.000038
3.875918, -0.000116, 0.000221 ,-0.000038
3.875727, -0.000116, 0.000222 ,-0.000038
3.875533, -0.000116, 0.000222 ,-0.000038
3.875335, -0.000117, 0.000223 ,-0.000038
3.875133, -0.000117, 0.000223 ,-0.000038
3.874927, -0.000117, 0.000224 ,-0.000038
3.874718, -0.000117, 0.000224 ,-0.000038
3.874506, -0.000118, 0.000225 ,-0.000038
3.874290, -0.000118, 0.000225 ,-0.000038
3.874069, -0.000118, 0.000226 ,-0.000038
3.873846, -0.000119, 0.000226 ,-0.000038
3.873618, -0.000119, 0.000227 ,-0.000038
3.873388, -0.000119, 0.000227 ,-0.000038
3.873154, -0.000120, 0.000228 ,-0.000037
3.872916, -0.000120, 0.000229 ,-0.000037
3.872674, -0.000120, 0.000229 ,-0.000037
3.872429, -0.000120, 0.000230 ,-0.000037
3.872181, -0.000121, 0.000230 ,-0.000037
3.871929, -0.000121, 0.000231 ,-0.000037
3.871673, -0.000121, 0.000231 ,-0.000037
3.871414, -0.000122, 0.000232 ,-0.000037
3.871152, -0.000122, 0.000232 ,-0.000037
3.870885, -0.000122, 0.000233 ,-0.000037
3.870616, -0.000122, 0.000233 ,-0.000037
3.870344, -0.000123, 0.000234 ,-0.000037
3.870067, -0.000123, 0.000234 ,-0.000037
3.869787, -0.000123, 0.000235 ,-0.000037
3.869504, -0.000124, 0.000236 ,-0.000037
3.869218, -0.000124, 0.000236 ,-0.000037
3.868928, -0.000124, 0.000237 ,-0.000036
3.868635, -0.000125, 0.000237 ,-0.000036
3.868338, -0.000125, 0.000238 ,-0.000036
3.868038, -0.000125, 0.000238 ,-0.000036
3.867735, -0.000126, 0.000239 ,-0.000036
3.867429, -0.000126, 0.000239 ,-0.000036
3.867120, -0.000126, 0.000240 ,-0.000036
3.866806, -0.000126, 0.000240 ,-0.000036
3.866491, -0.000127, 0.000241 ,-0.000036
3.866171, -0.000127, 0.000242 ,-0.000036
3.865849, -0.000127, 0.000242 ,-0.000035
3.865524, -0.000128, 0.000243 ,-0.000035
3.865195, -0.000128, 0.000243 ,-0.000035
3.864863, -0.000128, 0.000244 ,-0.000035
3.864529, -0.000129, 0.000244 ,-0.000035
3.864191, -0.000129, 0.000245 ,-0.000035
3.863850, -0.000129, 0.000246 ,-0.000035
3.863506, -0.000130, 0.000246 ,-0.000035
3.863159, -0.000130, 0.000247 ,-0.000034
3.862809, -0.000130, 0.000247 ,-0.000034
3.862456, -0.000131, 0.000248 ,-0.000034
3.862101, -0.000131, 0.000248 ,-0.000034
3.861742, -0.000131, 0.000249 ,-0.000034
3.861381, -0.000132, 0.000250 ,-0.000034
3.861017, -0.000132, 0.000250 ,-0.000034
3.860650, -0.000132, 0.000251 ,-0.000033
3.860280, -0.000133, 0.000251 ,-0.000033
3.859907, -0.000133, 0.000252 ,-0.000033
3.859532, -0.000133, 0.000252 ,-0.000033
3.859154, -0.000134, 0.000253 ,-0.000033
3.858773, -0.000134, 0.000254 ,-0.000032
3.858391, -0.000134, 0.000254 ,-0.000032
3.858004, -0.000135, 0.000255 ,-0.000032
3.857616, -0.000135, 0.000255 ,-0.000032
3.857225, -0.000135, 0.000256 ,-0.000032
3.856832, -0.000136, 0.000257 ,-0.000032
3.856436, -0.000136, 0.000257 ,-0.000031
3.856038, -0.000136, 0.000258 ,-0.000031
3.855637, -0.000137, 0.000258 ,-0.000031
3.855234, -0.000137, 0.000259 ,-0.000031
3.854829, -0.000137, 0.000259 ,-0.000030
3.854421, -0.000138, 0.000260 ,-0.000030
3.854012, -0.000138, 0.000261 ,-0.000030
3.853600, -0.000138, 0.000261 ,-0.000030
3.853185, -0.000139, 0.000262 ,-0.000030
3.852768, -0.000139, 0.000262 ,-0.000029
3.852350, -0.000139, 0.000263 ,-0.000029
3.851930, -0.000140, 0.000264 ,-0.000029
3.851507, -0.000140, 0.000264 ,-0.000029
3.851083, -0.000140, 0.000265 ,-0.000028
3.850656, -0.000141, 0.000265 ,-0.000028
3.850228, -0.000141, 0.000266 ,-0.000028
3.849798, -0.000141, 0.000267 ,-0.000028
3.849366, -0.000142, 0.000267 ,-0.000027
3.848932, -0.000142, 0.000268 ,-0.000027
3.848496, -0.000142, 0.000268 ,-0.000027
3.848059, -0.000143, 0.000269 ,-0.000027
3.847620, -0.000143, 0.000270 ,-0.000026
3.847180, -0.000143, 0.000270 ,-0.000026
3.846738, -0.000144, 0.000271 ,-0.000026
3.846294, -0.000144, 0.000271 ,-0.000025
3.845850, -0.000144, 0.000272 ,-0.000025
3.845403, -0.000145, 0.000273 ,-0.000025
3.844955, -0.000145, 0.000273 ,-0.000024
3.844507, -0.000145, 0.000274 ,-0.000024
3.844056, -0.000146, 0.000274 ,-0.000024
3.843605, -0.000146, 0.000275 ,-0.000023
3.843152, -0.000146, 0.000276 ,-0.000023
3.842698, -0.000147, 0.000276 ,-0.000023
3.842243, -0.000147, 0.000277 ,-0.000022
3.841788, -0.000147, 0.000277 ,-0.000022
3.841331, -0.000148, 0.000278 ,-0.000022
3.840873, -0.000148, 0.000279 ,-0.000021
3.840414, -0.000148, 0.000279 ,-0.000021
3.839955, -0.000149, 0.000280 ,-0.000021
3.839495, -0.000149, 0.000280 ,-0.000020
3.839035, -0.000149, 0.000281 ,-0.000020
3.838573, -0.000150, 0.000282 ,-0.000020
3.838111, -0.000150, 0.000282 ,-0.000019
3.837648, -0.000150, 0.000283 ,-0.000019
3.837186, -0.000151, 0.000283 ,-0.000018
3.836722, -0.000151, 0.000284 ,-0.000018
3.836259, -0.000151, 0.000285 ,-0.000018
3.835795, -0.000152, 0.000285 ,-0.000017
3.835330, -0.000152, 0.000286 ,-0.000017
3.834867, -0.000152, 0.000286 ,-0.000016
3.834403, -0.000153, 0.000287 ,-0.000016
3.833938, -0.000153, 0.000288 ,-0.000016
3.833474, -0.000153, 0.000288 ,-0.000015
3.833010, -0.000154, 0.000289 ,-0.000015
3.832546, -0.000154, 0.000289 ,-0.000014
3.832082, -0.000154, 0.000290 ,-0.000014
3.831618, -0.000155, 0.000291 ,-0.000013
3.831155, -0.000155, 0.000291 ,-0.000013
3.830692, -0.000155, 0.000292 ,-0.000013
3.830230, -0.000156, 0.000292 ,-0.000012
3.829769, -0.000156, 0.000293 ,-0.000012
3.829308, -0.000156, 0.000294 ,-0.000011
3.828848, -0.000157, 0.000294 ,-0.000011
3.828388, -0.000157, 0.000295 ,-0.000010
3.827929, -0.000157, 0.000295 ,-0.000010
3.827471, -0.000158, 0.000296 ,-0.000009
3.827015, -0.000158, 0.000296 ,-0.000009
3.826560, -0.000158, 0.000297 ,-0.000008
3.826105, -0.000159, 0.000298 ,-0.000008
3.825652, -0.000159, 0.000298 ,-0.000007
3.825200, -0.000159, 0.000299 ,-0.000007
3.824750, -0.000160, 0.000299 ,-0.000006
3.824301, -0.000160, 0.000300 ,-0.000006
3.823853, -0.000160, 0.000300 ,-0.000005
3.823407, -0.000160, 0.000301 ,-0.000004
3.822963, -0.000161, 0.000302 ,-0.000004
3.822520, -0.000161, 0.000302 ,-0.000003
3.822080, -0.000161, 0.000303 ,-0.000003
3.821641, -0.000162, 0.000303 ,-0.000002
3.821205, -0.000162, 0.000304 ,-0.000002
3.820771, -0.000162, 0.000304 ,-0.000001
3.820338, -0.000163, 0.000305 ,-0.000000
3.819908, -0.000163, 0.000305 ,0.000000
3.819481, -0.000163, 0.000306 ,0.000001
3.819056, -0.000163, 0.000306 ,0.000001
3.818633, -0.000164, 0.000307 ,0.000002
3.818213, -0.000164, 0.000308 ,0.000003
3.817796, -0.000164, 0.000308 ,0.000003
3.817381, -0.000165, 0.000309 ,0.000004
3.816970, -0.000165, 0.000309 ,0.000004
3.816561, -0.000165, 0.000310 ,0.000005
3.816155, -0.000165, 0.000310 ,0.000006
3.815753, -0.000166, 0.000311 ,0.000006
3.815354, -0.000166, 0.000311 ,0.000007
3.814959, -0.000166, 0.000312 ,0.000008
3.814566, -0.000166, 0.000312 ,0.000008
3.814177, -0.000167, 0.000313 ,0.000009
3.813792, -0.000167, 0.000313 ,0.000010
3.813411, -0.000167, 0.000314 ,0.000010
3.813033, -0.000167, 0.000314 ,0.000011
3.812660, -0.000168, 0.000315 ,0.000012
3.812290, -0.000168, 0.000315 ,0.000013
3.811925, -0.000168, 0.000316 ,0.000013
3.811564, -0.000168, 0.000316 ,0.000014
3.811208, -0.000169, 0.000317 ,0.000015
3.810855, -0.000169, 0.000317 ,0.000015
3.810507, -0.000169, 0.000317 ,0.000016
3.810164, -0.000169, 0.000318 ,0.000017
3.809825, -0.000170, 0.000318 ,0.000018
3.809492, -0.000170, 0.000319 ,0.000018
3.809164, -0.000170, 0.000319 ,0.000019
3.808840, -0.000170, 0.000320 ,0.000020
3.808522, -0.000170, 0.000320 ,0.000021
3.808209, -0.000171, 0.000320 ,0.000022
3.807902, -0.000171, 0.000321 ,0.000022
3.807600, -0.000171, 0.000321 ,0.000023
3.807303, -0.000171, 0.000322 ,0.000024
3.807013, -0.000171, 0.000322 ,0.000025
3.806728, -0.000171, 0.000322 ,0.000026
3.806449, -0.000172, 0.000323 ,0.000026
3.806177, -0.000172, 0.000323 ,0.000027
3.805910, -0.000172, 0.000324 ,0.000028
3.805650, -0.000172, 0.000324 ,0.000029
3.805397, -0.000172, 0.000324 ,0.000030
3.805149, -0.000172, 0.000325 ,0.000031
3.804909, -0.000173, 0.000325 ,0.000031
3.804676, -0.000173, 0.000325 ,0.000032
3.804449, -0.000173, 0.000326 ,0.000033
3.804229, -0.000173, 0.000326 ,0.000034
3.804017, -0.000173, 0.000326 ,0.000035
3.803812, -0.000173, 0.000327 ,0.000036
3.803614, -0.000173, 0.000327 ,0.000037
3.803424, -0.000173, 0.000327 ,0.000038
3.803241, -0.000173, 0.000328 ,0.000039
3.803067, -0.000174, 0.000328 ,0.000039
3.802900, -0.000174, 0.000328 ,0.000040
3.802742, -0.000174, 0.000328 ,0.000041
3.802591, -0.000174, 0.000329 ,0.000042
3.802449, -0.000174, 0.000329 ,0.000043
3.802315, -0.000174, 0.000329 ,0.000044
3.802190, -0.000174, 0.000329 ,0.000045
3.802073, -0.000174, 0.000330 ,0.000046
3.801966, -0.000174, 0.000330 ,0.000047
3.801867, -0.000174, 0.000330 ,0.000048
3.801778, -0.000174, 0.000330 ,0.000049
3.801698, -0.000174, 0.000330 ,0.000050
3.801627, -0.000174, 0.000331 ,0.000051
3.801566, -0.000174, 0.000331 ,0.000052
3.801514, -0.000174, 0.000331 ,0.000053
3.801472, -0.000174, 0.000331 ,0.000054
3.801441, -0.000174, 0.000331 ,0.000055
3.801419, -0.000174, 0.000331 ,0.000056
3.801408, -0.000174, 0.000332 ,0.000057
3.801406, -0.000174, 0.000332 ,0.000058
3.801415, -0.000174, 0.000332 ,0.000059
3.801436, -0.000174, 0.000332 ,0.000060
3.801466, -0.000174, 0.000332 ,0.000061
3.801509, -0.000174, 0.000332 ,0.000062
3.801562, -0.000174, 0.000332 ,0.000063
3.801626, -0.000174, 0.000332 ,0.000064
3.801702, -0.000174, 0.000332 ,0.000065
3.801789, -0.000173, 0.000332 ,0.000067
3.801888, -0.000173, 0.000332 ,0.000068
3.801999, -0.000173, 0.000332 ,0.000069
3.802122, -0.000173, 0.000332 ,0.000070
3.802257, -0.000173, 0.000332 ,0.000071
3.802405, -0.000173, 0.000332 ,0.000072
3.802564, -0.000173, 0.000332 ,0.000073
3.802737, -0.000173, 0.000332 ,0.000074
3.802923, -0.000172, 0.000332 ,0.000075
3.803121, -0.000172, 0.000332 ,0.000076
3.803332, -0.000172, 0.000332 ,0.000078
3.803557, -0.000172, 0.000332 ,0.000079
3.803795, -0.000172, 0.000332 ,0.000080
3.804047, -0.000171, 0.000332 ,0.000081
3.804312, -0.000171, 0.000331 ,0.000082
3.804592, -0.000171, 0.000331 ,0.000083
3.804885, -0.000171, 0.000331 ,0.000084
3.805193, -0.000170, 0.000331 ,0.000086
3.805516, -0.000170, 0.000331 ,0.000087
3.805852, -0.000170, 0.000331 ,0.000088
3.806204, -0.000170, 0.000330 ,0.000089
3.806571, -0.000169, 0.000330 ,0.000090
3.806952, -0.000169, 0.000330 ,0.000092
3.807349, -0.000169, 0.000330 ,0.000093
3.807761, -0.000168, 0.000329 ,0.000094
3.808189, -0.000168, 0.000329 ,0.000095
3.808633, -0.000168, 0.000329 ,0.000096
3.809092, -0.000167, 0.000328 ,0.000097
3.809568, -0.000167, 0.000328 ,0.000099
3.810060, -0.000166, 0.000328 ,0.000100
3.810569, -0.000166, 0.000327 ,0.000101
3.811094, -0.000166, 0.000327 ,0.000102
3.811635, -0.000165, 0.000327 ,0.000104
3.812194, -0.000165, 0.000326 ,0.000105
3.812771, -0.000164, 0.000326 ,0.000106
3.813364, -0.000164, 0.000325 ,0.000107
3.813975, -0.000163, 0.000325 ,0.000108
3.814604, -0.000163, 0.000324 ,0.000110
3.815250, -0.000163, 0.000324 ,0.000111
3.815915, -0.000162, 0.000324 ,0.000112
