Thrust [N], tau_x [Nm], tau_y [Nm], tau_z [Nm]
4.035277, 0.000122, -0.000233 ,-0.000030
4.035982, 0.000122, -0.000233 ,-0.000030
4.036680, 0.000122, -0.000232 ,-0.000030
4.037372, 0.000121, -0.000231 ,-0.000030
4.038057, 0.000121, -0.000231 ,-0.000031
4.038736, 0.000121, -0.000230 ,-0.000031
4.039408, 0.000120, -0.000229 ,-0.000031
4.040074, 0.000120, -0.000229 ,-0.000031
4.040732, 0.000120, -0.000228 ,-0.000031
4.041385, 0.000119, -0.000227 ,-0.000031
4.042030, 0.000119, -0.000227 ,-0.000031
4.042669, 0.000118, -0.000226 ,-0.000031
4.043302, 0.000118, -0.000226 ,-0.000031
4.043928, 0.000118, -0.000225 ,-0.000031
4.044547, 0.000117, -0.000224 ,-0.000031
4.045159, 0.000117, -0.000224 ,-0.000032
4.045764, 0.000117, -0.000223 ,-0.000032
4.046363, 0.000116, -0.000223 ,-0.000032
4.046955, 0.000116, -0.000222 ,-0.000032
4.047541, 0.000116, -0.000221 ,-0.000032
4.048119, 0.000116, -0.000221 ,-0.000032
4.048691, 0.000115, -0.000220 ,-0.000032
4.049256, 0.000115, -0.000220 ,-0.000032
4.049814, 0.000115, -0.000219 ,-0.000032
4.050366, 0.000114, -0.000218 ,-0.000032
4.050910, 0.000114, -0.000218 ,-0.000032
4.051449, 0.000114, -0.000217 ,-0.000032
4.051980, 0.000113, -0.000217 ,-0.000032
4.052504, 0.000113, -0.000216 ,-0.000032
4.053021, 0.000113, -0.000216 ,-0.000032
4.053532, 0.000112, -0.000215 ,-0.000033
4.054035, 0.000112, -0.000214 ,-0.000033
4.054533, 0.000112, -0.000214 ,-0.000033
4.055023, 0.000111, -0.000213 ,-0.000033
4.055506, 0.000111, -0.000213 ,-0.000033
4.055982, 0.000111, -0.000212 ,-0.000033
4.056451, 0.000111, -0.000212 ,-0.000033
4.056914, 0.000110, -0.000211 ,-0.000033
4.057370, 0.000110, -0.000211 ,-0.000033
4.057819, 0.000110, -0.000210 ,-0.000033
4.058261, 0.000109, -0.000209 ,-0.000033
4.058696, 0.000109, -0.000209 ,-0.000033
4.059124, 0.000109, -0.000208 ,-0.000033
4.059546, 0.000108, -0.000208 ,-0.000033
4.059960, 0.000108, -0.000207 ,-0.000033
4.060368, 0.000108, -0.000207 ,-0.000033
4.060769, 0.000108, -0.000206 ,-0.000033
4.061162, 0.000107, -0.000206 ,-0.000033
4.061550, 0.000107, -0.000205 ,-0.000033
4.061929, 0.000107, -0.000205 ,-0.000033
